"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 20 21:13:31 YAKT 2022","Sun Nov 20 21:13:32 YAKT 2022","1368","","FinalTestCredit","","FinalTestCredit","codeFormatPartialCredit","codeFormatPartialCredit()",""
"passed","Sun Nov 20 21:25:40 YAKT 2022","Sun Nov 20 21:25:44 YAKT 2022","3673","","FinalTestPurchase","","FinalTestPurchase","monthFormatElevenPurchase","monthFormatElevenPurchase()",""
"passed","Sun Nov 20 21:26:41 YAKT 2022","Sun Nov 20 21:26:42 YAKT 2022","1240","","FinalTestPurchase","","FinalTestPurchase","yearFormatPreviousPurchase","yearFormatPreviousPurchase()",""
"failed","Sun Nov 20 21:13:33 YAKT 2022","Sun Nov 20 21:13:39 YAKT 2022","5585","","FinalTestCredit","","FinalTestCredit","monthFormatZeroesCredit","monthFormatZeroesCredit()",""
"passed","Sun Nov 20 21:14:35 YAKT 2022","Sun Nov 20 21:14:40 YAKT 2022","4648","","FinalTestCredit","","FinalTestCredit","yearFormatFiveCredit","yearFormatFiveCredit()",""
"passed","Sun Nov 20 21:25:04 YAKT 2022","Sun Nov 20 21:25:11 YAKT 2022","7145","","FinalTestPurchase","","FinalTestPurchase","monthFormatPartialPurchase","monthFormatPartialPurchase()",""
"passed","Sun Nov 20 21:14:03 YAKT 2022","Sun Nov 20 21:14:04 YAKT 2022","1123","","FinalTestCredit","","FinalTestCredit","monthFormatEmptyCredit","monthFormatEmptyCredit()",""
"passed","Sun Nov 20 21:14:51 YAKT 2022","Sun Nov 20 21:15:00 YAKT 2022","8857","","FinalTestCredit","","FinalTestCredit","yearFormatNextCredit","yearFormatNextCredit()",""
"passed","Sun Nov 20 21:25:45 YAKT 2022","Sun Nov 20 21:25:46 YAKT 2022","1135","","FinalTestPurchase","","FinalTestPurchase","monthFormatEmptyPurchase","monthFormatEmptyPurchase()",""
"passed","Sun Nov 20 21:26:28 YAKT 2022","Sun Nov 20 21:26:33 YAKT 2022","4723","","FinalTestPurchase","","FinalTestPurchase","monthFormatTwoPurchase","monthFormatTwoPurchase()",""
"passed","Sun Nov 20 21:33:08 YAKT 2022","Sun Nov 20 21:33:12 YAKT 2022","3171","","FinalTestDBPostgre","","FinalTestDBPostgre","successCreditPostgre","successCreditPostgre()",""
"passed","Sun Nov 20 21:25:47 YAKT 2022","Sun Nov 20 21:25:48 YAKT 2022","1102","","FinalTestPurchase","","FinalTestPurchase","numberFormatEmptyPurchase","numberFormatEmptyPurchase()",""
"passed","Sun Nov 20 21:15:06 YAKT 2022","Sun Nov 20 21:15:08 YAKT 2022","1225","","FinalTestCredit","","FinalTestCredit","monthFormatPartialCredit","monthFormatPartialCredit()",""
"passed","Sun Nov 20 21:14:04 YAKT 2022","Sun Nov 20 21:14:08 YAKT 2022","4012","","FinalTestCredit","","FinalTestCredit","monthFormatTwelveCredit","monthFormatTwelveCredit()",""
"failed","Sun Nov 20 21:25:11 YAKT 2022","Sun Nov 20 21:25:28 YAKT 2022","16339","","FinalTestPurchase","","FinalTestPurchase","failPurchase","failPurchase()",""
"passed","Sun Nov 20 21:14:08 YAKT 2022","Sun Nov 20 21:14:10 YAKT 2022","1216","","FinalTestCredit","","FinalTestCredit","yearFormatSixCredit","yearFormatSixCredit()",""
"passed","Sun Nov 20 21:26:19 YAKT 2022","Sun Nov 20 21:26:26 YAKT 2022","6863","","FinalTestPurchase","","FinalTestPurchase","successPurchase","successPurchase()",""
"passed","Sun Nov 20 21:15:00 YAKT 2022","Sun Nov 20 21:15:01 YAKT 2022","1130","","FinalTestCredit","","FinalTestCredit","yearFormatEmptyCredit","yearFormatEmptyCredit()",""
"passed","Sun Nov 20 21:29:19 YAKT 2022","Sun Nov 20 21:29:23 YAKT 2022","4719","","FinalTestDBMySQL","","FinalTestDBMySQL","successCreditSQL","successCreditSQL()",""
"failed","Sun Nov 20 21:32:52 YAKT 2022","Sun Nov 20 21:33:08 YAKT 2022","16249","","FinalTestDBPostgre","","FinalTestDBPostgre","failPurchasePostgre","failPurchasePostgre()",""
"passed","Sun Nov 20 21:14:10 YAKT 2022","Sun Nov 20 21:14:17 YAKT 2022","7859","","FinalTestCredit","","FinalTestCredit","monthFormatTwoCredit","monthFormatTwoCredit()",""
"failed","Sun Nov 20 21:28:40 YAKT 2022","Sun Nov 20 21:29:02 YAKT 2022","22222","","FinalTestDBMySQL","","FinalTestDBMySQL","failCreditSQL","failCreditSQL()",""
"passed","Sun Nov 20 21:25:55 YAKT 2022","Sun Nov 20 21:26:06 YAKT 2022","10888","","FinalTestPurchase","","FinalTestPurchase","monthFormatOnePurchase","monthFormatOnePurchase()",""
"passed","Sun Nov 20 21:25:46 YAKT 2022","Sun Nov 20 21:25:47 YAKT 2022","1147","","FinalTestPurchase","","FinalTestPurchase","yearFormatPartialPurchase","yearFormatPartialPurchase()",""
"passed","Sun Nov 20 21:26:17 YAKT 2022","Sun Nov 20 21:26:18 YAKT 2022","324","","FinalTestPurchase","","FinalTestPurchase","blankFieldPurchase","blankFieldPurchase()",""
"failed","Sun Nov 20 21:25:48 YAKT 2022","Sun Nov 20 21:25:54 YAKT 2022","5453","","FinalTestPurchase","","FinalTestPurchase","monthFormatZeroesPurchase","monthFormatZeroesPurchase()",""
"passed","Sun Nov 20 21:26:33 YAKT 2022","Sun Nov 20 21:26:40 YAKT 2022","6835","","FinalTestPurchase","","FinalTestPurchase","monthFormatTwelvePurchase","monthFormatTwelvePurchase()",""
"passed","Sun Nov 20 21:14:34 YAKT 2022","Sun Nov 20 21:14:35 YAKT 2022","1173","","FinalTestCredit","","FinalTestCredit","monthFormatThirteenCredit","monthFormatThirteenCredit()",""
"passed","Sun Nov 20 21:25:28 YAKT 2022","Sun Nov 20 21:25:34 YAKT 2022","6193","","FinalTestPurchase","","FinalTestPurchase","yearFormatFivePurchase","yearFormatFivePurchase()",""
"passed","Sun Nov 20 21:15:01 YAKT 2022","Sun Nov 20 21:15:05 YAKT 2022","3720","","FinalTestCredit","","FinalTestCredit","monthFormatOneCredit","monthFormatOneCredit()",""
"passed","Sun Nov 20 21:25:54 YAKT 2022","Sun Nov 20 21:25:55 YAKT 2022","1143","","FinalTestPurchase","","FinalTestPurchase","codeFormatEmptyPurchase","codeFormatEmptyPurchase()",""
"passed","Sun Nov 20 21:14:17 YAKT 2022","Sun Nov 20 21:14:18 YAKT 2022","305","","FinalTestCredit","","FinalTestCredit","blankFieldCredit","blankFieldCredit()",""
"passed","Sun Nov 20 21:14:40 YAKT 2022","Sun Nov 20 21:14:50 YAKT 2022","10206","","FinalTestCredit","","FinalTestCredit","successCredit","successCredit()",""
"passed","Sun Nov 20 21:13:52 YAKT 2022","Sun Nov 20 21:14:03 YAKT 2022","10983","","FinalTestCredit","","FinalTestCredit","yearFormatFourCredit","yearFormatFourCredit()",""
"failed","Sun Nov 20 21:32:36 YAKT 2022","Sun Nov 20 21:32:52 YAKT 2022","16464","","FinalTestDBPostgre","","FinalTestDBPostgre","failCreditPostgre","failCreditPostgre()",""
"passed","Sun Nov 20 21:14:50 YAKT 2022","Sun Nov 20 21:14:51 YAKT 2022","1243","","FinalTestCredit","","FinalTestCredit","yearFormatPreviousCredit","yearFormatPreviousCredit()",""
"passed","Sun Nov 20 21:13:51 YAKT 2022","Sun Nov 20 21:13:52 YAKT 2022","1167","","FinalTestCredit","","FinalTestCredit","nameFormatEmptyCredit","nameFormatEmptyCredit()",""
"failed","Sun Nov 20 21:14:18 YAKT 2022","Sun Nov 20 21:14:34 YAKT 2022","16424","","FinalTestCredit","","FinalTestCredit","failCredit","failCredit()",""
"passed","Sun Nov 20 21:26:40 YAKT 2022","Sun Nov 20 21:26:41 YAKT 2022","1175","","FinalTestPurchase","","FinalTestPurchase","monthFormatThirteenPurchase","monthFormatThirteenPurchase()",""
"passed","Sun Nov 20 21:13:32 YAKT 2022","Sun Nov 20 21:13:33 YAKT 2022","1119","","FinalTestCredit","","FinalTestCredit","codeFormatEmptyCredit","codeFormatEmptyCredit()",""
"passed","Sun Nov 20 21:26:07 YAKT 2022","Sun Nov 20 21:26:17 YAKT 2022","10296","","FinalTestPurchase","","FinalTestPurchase","yearFormatNextPurchase","yearFormatNextPurchase()",""
"passed","Sun Nov 20 21:26:27 YAKT 2022","Sun Nov 20 21:26:28 YAKT 2022","1198","","FinalTestPurchase","","FinalTestPurchase","codeFormatPartialPurchase","codeFormatPartialPurchase()",""
"passed","Sun Nov 20 21:26:26 YAKT 2022","Sun Nov 20 21:26:27 YAKT 2022","1122","","FinalTestPurchase","","FinalTestPurchase","nameFormatEmptyPurchase","nameFormatEmptyPurchase()",""
"passed","Sun Nov 20 21:13:20 YAKT 2022","Sun Nov 20 21:13:31 YAKT 2022","11120","","FinalTestCredit","","FinalTestCredit","numberFormatEmptyCredit","numberFormatEmptyCredit()",""
"failed","Sun Nov 20 21:29:02 YAKT 2022","Sun Nov 20 21:29:19 YAKT 2022","16374","","FinalTestDBMySQL","","FinalTestDBMySQL","failPurchaseSQL","failPurchaseSQL()",""
"passed","Sun Nov 20 21:26:18 YAKT 2022","Sun Nov 20 21:26:19 YAKT 2022","1158","","FinalTestPurchase","","FinalTestPurchase","numberFormatPartialPurchase","numberFormatPartialPurchase()",""
"passed","Sun Nov 20 21:32:21 YAKT 2022","Sun Nov 20 21:32:36 YAKT 2022","14775","","FinalTestDBPostgre","","FinalTestDBPostgre","successPurchasePostgre","successPurchasePostgre()",""
"passed","Sun Nov 20 21:15:08 YAKT 2022","Sun Nov 20 21:15:09 YAKT 2022","1289","","FinalTestCredit","","FinalTestCredit","numberFormatPartialCredit","numberFormatPartialCredit()",""
"passed","Sun Nov 20 21:25:34 YAKT 2022","Sun Nov 20 21:25:40 YAKT 2022","6407","","FinalTestPurchase","","FinalTestPurchase","yearFormatFourPurchase","yearFormatFourPurchase()",""
"passed","Sun Nov 20 21:29:23 YAKT 2022","Sun Nov 20 21:29:26 YAKT 2022","2854","","FinalTestDBMySQL","","FinalTestDBMySQL","successPurchaseSQL","successPurchaseSQL()",""
"passed","Sun Nov 20 21:25:44 YAKT 2022","Sun Nov 20 21:25:45 YAKT 2022","1098","","FinalTestPurchase","","FinalTestPurchase","yearFormatEmptyPurchase","yearFormatEmptyPurchase()",""
"passed","Sun Nov 20 21:26:06 YAKT 2022","Sun Nov 20 21:26:07 YAKT 2022","1195","","FinalTestPurchase","","FinalTestPurchase","yearFormatSixPurchase","yearFormatSixPurchase()",""
"passed","Sun Nov 20 21:13:39 YAKT 2022","Sun Nov 20 21:13:51 YAKT 2022","11935","","FinalTestCredit","","FinalTestCredit","monthFormatElevenCredit","monthFormatElevenCredit()",""
"passed","Sun Nov 20 21:15:05 YAKT 2022","Sun Nov 20 21:15:06 YAKT 2022","1229","","FinalTestCredit","","FinalTestCredit","yearFormatPartialCredit","yearFormatPartialCredit()",""
